tweet_id,score,lat,lng,timestamp
1016463295161614336,-1,-4.799,114.563,1531193109
1016463292087144448,1,14.561,121.077,1531193108
1016463290267045890,1,52.516,-1.276,1531193108
1016463285347143680,0,-1.055,-80.453,1531193106
1016463282889216001,0,9.432,8.043,1531193106
1016463277721772032,1,19.299,-99.642,1531193105
1016463277428297729,1,43.269,0.698,1531193104
1016463276148916226,1,-14.318,-49.625,1531193104
1016463273862971392,0,33.759,-84.364,1531193104
1016463271665156096,1,14.589,120.985,1531193103
1016463271639937024,-1,23.635,-102.553,1531193103
1016463271564627968,-1,36.272,32.771,1531193103
1016463271476334593,1,39.399,-99.415,1531193103
1016463271208062976,1,51.083,10.423,1531193103
1016463268703920128,-1,36.356,127.806,1531193102
1016463268351578112,1,48.875,44.645,1531193102
1016463267936571392,0,58.417,24.433,1531193102
1016463267722551296,-1,56.233,-4.974,1531193102
1016463263486398464,0,35.858,-87.692,1531193101
1016463259145261056,0,-28.519,28.787,1531193100
1016463253944324096,0,44.001,3.556,1531193099
1016463253570924544,0,51.85,6.615,1531193099
1016463250546835456,-1,35.682,139.753,1531193098
1016463246226804736,1,53.2,-8.917,1531193097
1016463243286462465,-1,12.75,122.731,1531193096
1016463242917490688,1,-34.563,-58.617,1531193096
1016463240656834560,1,14.36,100.577,1531193096
1016463240086335491,1,51.507,-0.128,1531193096
1016463239096369152,1,4.789,8.197,1531193095
1016463237901058049,1,54.691,25.291,1531193095
1016463233958334464,-1,13.175,100.931,1531193094
1016463229411905536,0,9.064,7.489,1531193093
1016463228807909377,1,56.001,-3.811,1531193093
1016463227780075520,-1,13.29,108.427,1531193093
1016463227704705026,1,47.595,12.087,1531193093
1016463226178080768,1,52.208,0.133,1531193092
1016463222822580224,-1,36.127,-115.172,1531193091
1016463216677826560,1,34.245,-113.964,1531193090
1016463215650197505,1,51.249,-0.772,1531193090
1016463215511916546,1,45.733,-73.453,1531193090
1016463214131982341,1,6.414,5.459,1531193089
1016463209866383360,1,45.119,15.436,1531193088
1016463208125739011,1,12.967,77.587,1531193088
1016463206930370561,0,37.243,-78.46,1531193088
1016463206527782913,1,6.3,0.059,1531193088
1016463205772607488,1,23.404,84.628,1531193087
1016463200458428416,0,-25.756,28.219,1531193086
1016463199372226561,1,-31.416,-64.175,1531193086
1016463199284047872,0,25.762,-80.192,1531193086
1016463198894149634,1,31.516,74.329,1531193086
1016463196561895424,0,-4.799,114.563,1531193085
1016463193722454016,1,37.976,23.736,1531193085
1016463190832635906,1,17.981,-94.398,1531193084
1016463188508831744,1,-7.801,110.365,1531193083
1016463187812679680,1,60.109,-113.643,1531193083
1016463186856480773,1,10.868,-60.982,1531193083
1016463181588283393,1,2.5,112.5,1531193082
1016463178299932672,0,-25.695,133.795,1531193081
